team,filename,rocket_name,parse_status,motor_designation,motor_found,or_apogee_ft,diameter_in,length_in,mass_found,mass_source,mass_lb,cg_found,cg_in,cp_found,cp_in,stability_cal,stability_category,tier_run,our_apogee_ft,apogee_diff_pct,hazard_zone_ft,motor_class,total_impulse_ns,is_multistage,stage_count,nosecone_type,barrowman_cd,cd_used,override_applied,missing_fields,warnings
,kapsül_konuralp_rocket_team.ork,Rocket,ok,M1419W,yes,10117,6.06,100.39,yes,databranch_t0,50.113,yes,66.54,yes,78.07,1.903,stable,tier3,9725,-3.9,10510,M,7585.2,no,1,haack,0.4589,barrowman:0.4589,no,,
,Kennesaw Rocketry Team IREC 2025 - 2026 Rocket (Updated 2-6-26).ork,Kennesaw Rocketry Team IREC 2025 - 2026 Rocket (Updated 2-6-26),ok,M2100G,yes,10225,6.17,101.68,yes,databranch_t0,49.697,yes,68.66,yes,80.64,1.942,stable,tier3,10095,-1.3,10451,M,7655.8,no,1,ogive,0.4354,barrowman:0.4354,no,,
,Kocatepe Rocket IREC.ork,Kocatepe Rocket IREC 2026,ok,M1850W,yes,10662,5.16,98.82,yes,databranch_t0,49.046,yes,59.33,yes,68.21,1.721,stable,tier3,11593,8.7,12215,M,7791.4,no,1,haack,0.4858,barrowman:0.4858,no,,
,lv2026PostJanfab.ork,Rocket,ok,Runtank,no,11831,6.17,212.42,yes,databranch_t0,139.363,yes,135.35,yes,20.00,,,tier1_no_motor,,,2958,,,yes,2,haack,0.6779,n/a,no,motor,
,M6000ST-0 (1).ork,M6000ST,ok,M6000ST,yes,10005,5.91,118.11,yes,databranch_t0,64.549,yes,77.76,yes,92.47,2.491,stable,tier3,10447,4.4,11103,M,9604.6,no,1,parabolic,0.4953,barrowman:0.4953,no,,
,Night Owl.ork,Rocket,ok,M2000R,yes,12360,6.17,110.00,yes,component_sum+geom,34.760,no,,yes,85.79,,,tier3,11136,-9.9,11283,M,9116.6,no,1,ogive,0.4781,barrowman:0.4781,yes,,"override: motor [motor_designation: OR XML has 'M2000R', we matched 'L2200G']"
,PR2 Project OCTOPUS Simulation.ork,octopus aerotech simulare speciala,ok,O5500X-PS,yes,31831,5.35,115.16,yes,databranch_t0,74.375,yes,70.47,yes,83.54,2.441,stable,tier3,28634,-10.0,26173,O,21395.4,no,1,ogive,0.5241,barrowman:0.5241,no,,
,PR2_Diva.ork,Diva,ok,M2500T,yes,10370,5.15,105.07,yes,databranch_t0,64.176,yes,60.04,yes,13.33,-9.069,unstable,tier3,12116,16.8,9818,M,9464.3,no,1,ogive,0.4200,barrowman:0.4200,no,,
,Progress Report 2 Submission.ork,Method of Sections,ok,M2500T,yes,12076,6.17,111.85,yes,databranch_t0,59.933,yes,80.08,yes,91.81,1.901,stable,tier3,11381,-5.8,12081,M,9464.3,no,1,haack,0.4191,barrowman:0.4191,no,,
,Progress report 2.ork,Rocket,ok,M1350W,yes,10238,5.08,93.00,yes,component_sum+geom,15.042,no,,yes,70.69,,,tier3,11664,13.9,10769,M,5158.0,no,1,ogive,0.4313,barrowman:0.4313,no,,
,ProjectSolarFlare_v1.1.ork,Rocket,ok,M641,no,12378,3.94,139.00,yes,databranch_t0,39.635,yes,74.45,yes,94.50,,,tier1_no_motor,,,3094,,,no,1,ogive,0.7745,n/a,no,motor,
,rocket.ork,Rocket of Second Progress,ok,Mandioca_novo,no,11003,6.46,110.91,yes,component_sum+geom,45.373,no,,yes,91.26,,,tier1_no_motor,,,2751,,,no,1,haack,0.4256,n/a,no,motor,
,RocketFileQ29.ork,Rocket,ok,O5500X-PS,yes,27457,6.00,133.00,yes,component_sum+geom,29.956,no,,yes,36.43,,,tier3,29276,6.6,25286,O,21395.4,no,1,ogive,0.4394,barrowman:0.4394,yes,,"override: motor [motor_designation: OR XML has 'O5500X-PS', we matched 'M1850W']"
,SACCUP-2026.ork,Altair,ok,North_StarV2_Sim,no,10143,6.00,127.03,yes,databranch_t0,109.598,yes,98.03,yes,98.51,,,tier1_no_motor,,,2536,,,no,1,ogive,0.5100,n/a,no,motor,
,SCRT 2026 Full Scale Final Revision 6 PR2.ork,Rocket,ok,N3041,no,10860,6.24,120.00,yes,databranch_t0,72.922,yes,73.94,yes,91.08,,,tier1_no_motor,,,2715,,,no,1,ogive,0.5903,n/a,no,motor,
,Skyskraper_v6.ork,sapfjksdp,ok,M2400T,yes,10766,5.67,92.52,yes,databranch_t0,50.325,yes,64.09,yes,76.44,2.177,stable,tier3,10218,-5.1,10794,M,7541.1,no,1,haack,0.4700,barrowman:0.4700,no,,
,SolInvictus PR2.ork,Rocket,ok,CC,no,31036,6.00,200.69,yes,databranch_t0,148.902,yes,129.65,yes,154.85,,,tier1_no_motor,,,7759,,,no,1,haack,0.7321,n/a,no,motor,
,StratospartanIIIFinalSim.ork,Rocket,ok,M2400T,yes,8815,6.10,104.87,yes,databranch_t0,55.177,yes,70.28,yes,81.25,1.798,stable,tier3,9049,2.7,9844,M,7541.1,no,1,haack,0.4440,barrowman:0.4440,no,,
,Talon N3300 Report 2.ork,Talon N3300 Report 2,ok,N3300R,yes,10009,8.00,136.00,yes,databranch_t0,98.696,yes,85.63,yes,26.67,-7.370,unstable,tier3,10528,5.2,8292,N,14034.4,no,1,ogive,0.3494,barrowman:0.3494,no,,
,Team 38 Mags 2.1 Submission 2.ork,Team 38,ok,9994M3400-P,yes,11446,6.17,82.00,yes,component_sum+geom,41.896,no,,yes,21.55,,,tier3,13143,14.8,13860,M,9951.5,no,1,ogive,0.3600,barrowman:0.3600,yes,,override: cd [cd_override: rocket reaches Mach 1.011 â€” transonic drag rise. Barrowman CD 0.29 (subsonic) underestimates drag at Mach ~1. Effective CD correction: 0.2890 Ã— (14379/11446) = 0.36. Mass is correct (verified OR 1.10 format: overridemass children are active overrides).]
,Team102_ORK_PR2.ork,Fullscale V.2.9.26,ok,M2500T,yes,10000,6.13,114.00,yes,databranch_t0,69.408,yes,70.67,yes,92.07,3.493,stable,tier3,9248,-7.5,10272,M,9464.3,no,1,haack,0.5001,barrowman:0.5001,no,,
